Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
190112,  US,00001,     ,US 1,Patrick St,100,City of Alexandria,000,Arlington County,0.51,"SCL Alexandria, I-95, I-495 Capital Beltway",Franklin St,74000,F,97%,1%,1%,0%,0%,0%,F,0.0773,,0.5963,77000,F,2016,,,,,,,,,,,,,,,
190117,  US,00001,     ,US 1,Patrick St,100,City of Alexandria,100,City of Alexandria,0.15,Franklin St,"Wilkes St, US 1 Par",74000,N,97%,1%,1%,0%,0%,0%,N,0.0773,,0.5963,77000,N,2016,,,,,,,,,,,,,,,
602011,  US,00001,     ,US 1,Patrick St,100,City of Alexandria,100,City of Alexandria,0.36,"Wilkes St, US 1 Par",King St,27000,G,97%,1%,1%,0%,0%,0%,F,0.0827,,1.0000,28000,G,2016,,50000,G,97%,1%,1%,0%,0%,0%,F,0.0669,,0.8074,52000,G
602007,  US,00001,     ,US 1,Patrick St,100,City of Alexandria,100,City of Alexandria,0.72,King St,1st St,25000,G,97%,1%,1%,0%,0%,0%,F,0.0933,,1.0000,26000,G,2016,,47000,G,97%,1%,1%,0%,0%,0%,F,0.0787,,0.6195,49000,G
602050,  US,00001,     ,US 1,Patrick St,100,City of Alexandria,100,City of Alexandria,0.42,1st St,Monroe Ave,49000,G,97%,1%,1%,0%,0%,0%,F,0.0838,,0.6394,51000,G,2016,,,,,,,,,,,,,,,
602064,  US,00001,     ,US 1,Jefferson Davis Hwy,100,City of Alexandria,100,City of Alexandria,1.27,Monroe Ave,NCL Alexandria,38000,G,97%,1%,1%,0%,0%,0%,F,0.0756,,0.5967,40000,G,2016,,,,,,,,,,,,,,,
190114,  US,00001,     ,US 1,Jefferson Davis Hwy,000,Arlington County,000,Arlington County,0.15,NCL Alexandria,SR 120 Glebe Rd,43000,F,97%,1%,1%,0%,0%,0%,F,0.0740,,0.6161,45000,F,2016,,,,,,,,,,,,,,,
190113,  US,00001,     ,US 1,Jefferson Davis Hwy,000,Arlington County,000,Arlington County,0.65,SR 120 Glebe Rd,SR 233 Reagan Washington National Airport,45000,F,97%,1%,1%,0%,0%,0%,F,0.0798,,0.8631,46000,F,2016,,,,,,,,,,,,,,,
190115,  US,00001,     ,US 1,Jefferson Davis Hwy,000,Arlington County,000,Arlington County,0.87,SR 233 Reagan Washington National Airport,SR 110; Ramp to I-395,48000,G,97%,1%,1%,0%,0%,0%,F,0.0797,,0.5067,51000,G,2016,,,,,,,,,,,,,,,
190190,  US,00001,     ,US 1,Ramp,000,Arlington County,000,Arlington County,0.16,US 1; SR 110 Jefferson Davis Hwy NB,I-395 NB,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
090357,  US,00001,     ,"I-395 NB, US 1", ,000,Arlington County,000,Arlington County,0.55,I-395,George Washington Parkway,69000,G,98%,1%,1%,1%,1%,0%,F,0.0730,,1.0000,71000,G,2016,,196000,G,98%,1%,1%,1%,1%,0%,F,0.0000,,0.0000,212000,G
090359,  US,00001,     ,"I-395 NB, US 1", ,000,Arlington County,000,Arlington County,0.02,George Washington Parkway,District of Columbia,69000,N,98%,1%,1%,1%,1%,0%,N,0.0730,,1.0000,71000,N,2016,,196000,N,98%,1%,1%,1%,1%,0%,N,0.0000,,0.0000,212000,N
797792,  US,00001, 191B,US 1 Exit 191B,"Ramp From US N,S to I-95 3 at Exit 177",100,City of Alexandria,029,Fairfax County,0.18,Ramps from US 1 NB and US 1 SB,I-95 Express Lanes SB,9600,G,,,,,,,X,0.0801,,1.0000,9600,G,2016,,,,,,,,,,,,,,,
797746,  US,00001, 191C,US 1 Exit 191C,Ramp,100,City of Alexandria,029,Fairfax County,0.19,US 01-S191C TO RT 241,I-95-S FROM RT 1,9300,G,,,,,,,X,0.0855,,0.6993,9300,G,2016,,,,,,,,,,,,,,,
789654,  US,00001,N191A,US 1 NB Exit 191A,Ramp,100,City of Alexandria,029,Fairfax County,0.17,US 1 Richmond Hwy NB,US 01-N191B TO RT 95 SOUTH,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
798088,  US,00001,N191A,US 1 NB Exit 191A,Ramp,100,City of Alexandria,029,Fairfax County,0.16,US 01-N191B TO RT 95 SOUTH,I-95-N FROM RT 1 NORTH,16000,G,,,,,,,X,0.1139,,1.0000,16000,G,2016,,,,,,,,,,,,,,,
789655,  US,00001,N191B,US 1 NB Exit 191B,Ramp,100,City of Alexandria,029,Fairfax County,0.39,US 1 Richmond Hwy NB,US 01-N191C TO RT 241; 95 SOUTH,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
798089,  US,00001,N191B,US 1 NB Exit 191B,Ramp,100,City of Alexandria,029,Fairfax County,0.10,US 01-N191C TO RT 241; 95 SOUTH,US 01- 191B US 01-S191B FROM RT 1,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
797747,  US,00001,N191C,US 1 NB Exit 191C,Ramp,100,City of Alexandria,029,Fairfax County,0.14,US 01-N191B TO RT 241; 95 SOUTH,US 01-S191C TO RT 241,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
789660,  US,00001,S191A,US 1 SB Exit 191A,Ramp,100,City of Alexandria,029,Fairfax County,0.11,US 1 Patrick St SB,US 01-S191C TO 241; 95 SOUTH,26000,G,,,,,,,X,0.0994,,1.0000,26000,G,2016,,,,,,,,,,,,,,,
798090,  US,00001,S191A,US 1 SB Exit 191A,Ramp,100,City of Alexandria,029,Fairfax County,0.09,US 01-S191C TO 241; 95 SOUTH,US 01-S191B TO 95 SOUTH,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
798091,  US,00001,S191A,US 1 SB Exit 191A,Ramp,100,City of Alexandria,029,Fairfax County,0.22,US 01-S191B TO 95 SOUTH,US 01-S191D TO 95 NORTH EXPRESS,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
798092,  US,00001,S191A,US 1 SB Exit 191A,Ramp,100,City of Alexandria,029,Fairfax County,0.28,US 01-S191D TO 95 NORTH EXPRESS,I-95-N FROM RT 1 SOUTH,14000,G,,,,,,,X,0.1255,,1.0000,14000,G,2016,,,,,,,,,,,,,,,
789661,  US,00001,S191B,US 1 SB Exit 191B,Ramp,100,City of Alexandria,029,Fairfax County,0.09,US 1 Patrick St SB,Toward I-95 SB,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
797748,  US,00001,S191C,US 1 SB Exit 191C,Ramp,100,City of Alexandria,029,Fairfax County,0.21,US 01-S191A TO 241; 95 SOUTH,US 01-N191C US 01- 191C TO RT 241,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
797749,  US,00001,S191D,US 1 SB Exit 191D,Ramp,100,City of Alexandria,029,Fairfax County,0.34,US 01-S191A TO 95 NORTH EXPRESS,I-95-1 FROM MILL ROAD & RT 1,8400,G,,,,,,,X,0.1315,,1.0000,8400,G,2016,,,,,,,,,,,,,,,
602009, 1US,00001,P    ,US 1 Par,Henry St,100,City of Alexandria,100,City of Alexandria,0.36,Wilkes St,SR 7 King St,23000,G,97%,1%,1%,0%,0%,0%,F,0.0788,,0.6755,24000,G,2016,,50000,G,97%,1%,1%,0%,0%,0%,F,0.0669,,0.8074,52000,G
602006, 1US,00001,P    ,US 1 Par,Henry St,100,City of Alexandria,100,City of Alexandria,0.72,SR 7 King St,1st Street,22000,G,97%,1%,1%,0%,0%,0%,F,0.0788,,1.0000,23000,G,2016,,47000,G,97%,1%,1%,0%,0%,0%,F,0.0787,,0.6195,49000,G
783049, 4US,00001,P    ,"US 1 Par, I-395 SB Exit 008C",Ramp,000,Arlington County,000,Arlington County,0.29,"SR 110, US 1",I-395 South,19000,G,97%,1%,1%,0%,0%,0%,F,0.0696,,1.0000,20000,G,2016,,,,,,,,,,,,,,,
602033,  SR,00007,     ,VA 7,King St,100,City of Alexandria,100,City of Alexandria,1.09,WCL Alexandria,I-395,45000,G,97%,1%,1%,0%,0%,0%,F,0.0727,,0.5277,47000,G,2016,,,,,,,,,,,,,,,
602032,  SR,00007,     ,VA 7,King St,100,City of Alexandria,100,City of Alexandria,0.65,I-395,Braddock Rd,22000,G,97%,1%,1%,0%,0%,0%,F,0.0830,,0.6054,23000,G,2016,,,,,,,,,,,,,,,
602031,  SR,00007,     ,VA 7,King St,100,City of Alexandria,100,City of Alexandria,1.91,Braddock Rd,Russell Rd,13000,G,97%,1%,1%,0%,0%,0%,F,0.0866,,0.6128,14000,G,2016,,,,,,,,,,,,,,,
602030,  SR,00007,     ,VA 7,King St,100,City of Alexandria,100,City of Alexandria,0.38,Russell Rd,West St,13000,G,97%,1%,1%,0%,0%,0%,F,0.0854,,0.6386,14000,G,2016,,,,,,,,,,,,,,,
602053,  SR,00007,     ,VA 7,King St,100,City of Alexandria,100,City of Alexandria,0.48,West St,Washington St,6400,G,97%,1%,1%,0%,0%,0%,F,0.0772,,0.5249,6800,G,2016,,,,,,,,,,,,,,,
782927,  SR,00007,E069A,VA 7 EB Exit 069A,Ramp,100,City of Alexandria,000,Arlington County,0.11,SR 7; 30th St. To Rt 395,SR 07-E069B TO RT 395 NORTH & SOUTH,17000,G,,,,,,,X,0.0799,,1.0000,17000,G,2016,,,,,,,,,,,,,,,
798064,  SR,00007,E069A,VA 7 EB Exit 069A,Ramp,100,City of Alexandria,000,Arlington County,0.13,SR 07-E069B TO RT 395 NORTH & SOUTH,I-395-S FROM RT 7 EAST00- KING ST,34000,G,,,,,,,X,0.0801,,1.0000,34000,G,2016,,,,,,,,,,,,,,,
782928,  SR,00007,E069B,VA 7 EB Exit 069B,Ramp,100,City of Alexandria,000,Arlington County,0.23,SR 07-E069A To Rt 395 North & South,I-395-N From Rt 7 East00- King St,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
782931,  SR,00007,W069A,VA 7 WB Exit 069A,Ramp,000,Arlington County,000,Arlington County,0.25,SR 7 TO RT 395 NORTH & SOUTH,SR 7 TO RT 395 NORTH & SOUTH,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
799122,  SR,00007,W069B,VA 7 WB Exit 069B,Ramp,000,Arlington County,000,Arlington County,0.12,SR 7 West,Ramps to I-395 South and I-395 North,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
782932,  SR,00007,W069B,VA 7 WB Exit 069B,Ramp,000,Arlington County,000,Arlington County,0.07,Ramp from SR 7 West,I-395 North,5300,G,,,,,,,X,0.1795,,1.0000,5300,G,2016,,,,,,,,,,,,,,,
782933,  SR,00027, 004A,VA 27 Exit 004A,Ramp,000,Arlington County,000,Arlington County,0.13,SR 27-W001A SR 27-E001A FROM RT 2,00-6624 TO ARLINGTON RIDGE ROAD,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
798065,  SR,00027, 004A,VA 27 Exit 004A,Ramp,000,Arlington County,000,Arlington County,0.22,Ramp from SR 27 Washington Blvd,I-395 South,16000,G,,,,,,,X,0.1119,,1.0000,16000,G,2016,,,,,,,,,,,,,,,
090207,  SR,00027,E    ,VA 27 EB,Washington Blvd,000,Arlington County,000,Arlington County,0.82,US 50 Arlington Blvd; 00-6700,SR 244 Columbia Pike,36000,G,98%,1%,0%,0%,0%,0%,F,0.0842,,1.0000,38000,G,2016,,70000,G,98%,1%,0%,0%,0%,0%,F,0.0867,,0.5124,75000,G
090208,  SR,00027,E    ,VA 27 EB,Washington Blvd,000,Arlington County,000,Arlington County,0.35,SR 244 Columbia Pike,I-395,46000,F,98%,1%,0%,0%,0%,0%,F,0.0929,,1.0000,48000,F,2016,,99000,G,98%,1%,1%,0%,0%,0%,F,0.0000,,0.0000,108000,G
090184,  SR,00027,E    ,VA 27 EB,Washington Blvd,000,Arlington County,000,Arlington County,0.52,I-395,SR 244; Pentagon,23000,G,98%,1%,0%,0%,0%,0%,C,0.1255,,1.0000,25000,G,2016,,47000,G,98%,1%,0%,0%,0%,0%,F,0.0859,,0.6133,50000,G
090209,  SR,00027,E    ,VA 27 EB,Washington Blvd,000,Arlington County,000,Arlington County,0.33,SR 244; Pentagon,SR 110,32000,G,98%,1%,0%,0%,0%,0%,F,0.1255,,1.0000,34000,G,2016,,67000,G,98%,1%,0%,0%,0%,0%,F,0.0860,,0.6749,71000,G
090210,  SR,00027,E    ,VA 27 EB,Washington Blvd,000,Arlington County,000,Arlington County,0.52,SR 110,Boundary Drive,29000,G,98%,1%,0%,0%,0%,0%,F,0.1330,,1.0000,30000,G,2016,,50000,G,98%,1%,0%,0%,0%,0%,F,0.0967,,0.7907,53000,G
782934,  SR,00027,E004A,VA 27 EB Exit 004A,Ramp,000,Arlington County,000,Arlington County,0.09,SR 27-E TO RT 395 SOUTH & ARLINGTON RID,SR 27-W001A SR 27- 1A FROM RT 2,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
782935,  SR,00027,E004B,VA 27 EB Exit 004B,Ramp,000,Arlington County,000,Arlington County,0.19,SR 27-E TO RT 395 NORTH & ARMY NAVY DRI,I-395-N008D FROM RT 395 NORTH & ARLINGT,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
798066,  SR,00027,E004B,VA 27 EB Exit 004B,Ramp,000,Arlington County,000,Arlington County,0.19,I-395-N008D FROM RT 395 NORTH & ARLINGT,SR 27-E001C TO ARMY NAVY DRIVE,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
798067,  SR,00027,E004B,VA 27 EB Exit 004B,Ramp,000,Arlington County,000,Arlington County,0.22,SR 27-E001C TO ARMY NAVY DRIVE,I-395 North,19000,G,,,,,,,X,0.0917,,1.0000,19000,G,2016,,,,,,,,,,,,,,,
782936,  SR,00027,E004C,VA 27 EB Exit 004C,Ramp,000,Arlington County,000,Arlington County,0.14,SR 27-E001B TO ARMY NAVY DRIVE,I-395-N008C FROM RT 27 EAST,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
781299,  SR,00027,R    ,VA 27 Rev,Washington Blvd,000,Arlington County,000,Arlington County,0.36,I-395 Reversible Lanes,SR 27 EB; SR 27 WB,8400,G,99%,0%,0%,0%,0%,0%,C,0.1206,,1.0000,11000,G,2016,,99000,G,98%,1%,1%,0%,0%,0%,F,0.0000,,0.0000,108000,G
190167,  SR,00027,W    ,VA 27 WB,Washington Blvd,000,Arlington County,000,Arlington County,0.80,US 50 Arlington Blvd; 00-6700,SR 244 Columbia Pike,35000,G,98%,1%,0%,0%,0%,0%,F,0.0899,,1.0000,37000,G,2016,,70000,G,98%,1%,0%,0%,0%,0%,F,0.0867,,0.5124,75000,G
190168,  SR,00027,W    ,VA 27 WB,Washington Blvd,000,Arlington County,000,Arlington County,0.60,SR 244 Columbia Pike,I-395,45000,G,98%,0%,1%,1%,0%,0%,C,0.0800,,1.0000,48000,G,2016,,99000,G,98%,1%,1%,0%,0%,0%,F,0.0000,,0.0000,108000,G
190169,  SR,00027,W    ,VA 27 WB,Washington Blvd,000,Arlington County,000,Arlington County,0.13,I-395,SR 244 Columbia Pike,23000,F,98%,1%,0%,0%,0%,0%,F,0.1052,,1.0000,25000,F,2016,,47000,G,98%,1%,0%,0%,0%,0%,F,0.0859,,0.6130,50000,G
190170,  SR,00027,W    ,VA 27 WB,Washington Blvd,000,Arlington County,000,Arlington County,0.62,SR 244 Columbia Pike,SR 110,35000,G,98%,1%,0%,0%,0%,0%,F,0.1129,,1.0000,37000,G,2016,,67000,G,98%,1%,0%,0%,0%,0%,F,0.0860,,0.6749,71000,G
190171,  SR,00027,W    ,VA 27 WB,Washington Blvd,000,Arlington County,000,Arlington County,0.33,SR 110,Boundary Drive,21000,G,98%,1%,0%,0%,0%,0%,F,0.1026,,1.0000,22000,G,2016,,50000,G,98%,1%,0%,0%,0%,0%,F,0.0967,,0.7907,53000,G
782937,  SR,00027,W004A,VA 27 WB Exit 004A,Ramp,000,Arlington County,000,Arlington County,0.08,SR 27-W TO RT 395 SOUTH & ARLINGTON RID,SR 27-W001B TO RT 395 SOUTH,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
798068,  SR,00027,W004A,VA 27 WB Exit 004A,Ramp,000,Arlington County,000,Arlington County,0.05,SR 27-W001B TO RT 395 SOUTH,SR 27- 1A SR 27-E001A FROM RT 2,0,?,,,,,,,X,0.0000,,0.0000,,,,,,,,,,,,,,,,,,
782938,  SR,00027,W004B,VA 27 WB Exit 004B,Ramp,000,Arlington County,000,Arlington County,0.11,SR 27-W001A TO RT 395 SOUTH,I-395 South,23000,G,,,,,,,X,0.0873,,1.0000,23000,G,2016,,,,,,,,,,,,,,,
090211,  US,00029,     ,"US 29, VA 237",Lee Highway,000,Arlington County,000,Arlington County,0.11,ECL Falls Church,SR 237 Washington Blvd,22000,F,98%,0%,1%,0%,0%,0%,F,0.0876,,0.5384,25000,F,2016,,,,,,,,,,,,,,,
090228,  US,00029,     ,"US 29, VA 237 Par",Lee Highway,000,Arlington County,000,Arlington County,0.07,SR 237 Washington Blvd,"SR 237 Par, Washington Blvd",22000,N,98%,0%,1%,0%,0%,0%,N,0.1078,,0.5168,24000,N,2016,,,,,,,,,,,,,,,
090212,  US,00029,     ,US 29,Lee Highway,000,Arlington County,000,Arlington County,2.16,"SR 237 Par, Washington Blvd",SR 120 Glebe Rd,22000,A,98%,0%,1%,0%,0%,0%,C,0.1078,,0.5168,24000,A,2016,,,,,,,,,,,,,,,
090213,  US,00029,     ,US 29,Lee Highway,000,Arlington County,000,Arlington County,0.15,SR 120 Glebe Rd,S SR 309 Old Dominion Dr,17000,F,98%,0%,1%,0%,0%,0%,F,0.0928,,0.6366,19000,F,2016,,,,,,,,,,,,,,,
